id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID
Activity:Login History:LoginHistoryList:Carrier,Carrier,"[""Activity"", ""Login History"", ""LoginHistoryList"", ""Carrier""]","[""Activity"", ""Login History"", ""LoginHistoryList""]","[""Carrier""]",list,string,,No,
Activity:Search History:SearchList:Date,Date,"[""Activity"", ""Search History"", ""SearchList"", ""Date""]","[""Activity"", ""Search History"", ""SearchList""]","[""Date""]",list,string,,No,Activity:Search History:SearchList:Date
Activity:Search History:SearchList:SearchTerm,SearchTerm,"[""Activity"", ""Search History"", ""SearchList"", ""SearchTerm""]","[""Activity"", ""Search History"", ""SearchList""]","[""SearchTerm""]",list,string,,No,Activity:Search History:SearchList:SearchTerm
Activity:Share History:ShareHistoryList:Date,Date,"[""Activity"", ""Share History"", ""ShareHistoryList"", ""Date""]","[""Activity"", ""Share History"", ""ShareHistoryList""]","[""Date""]",list,string,,No,Activity:Share History:ShareHistoryList:Date
Activity:Share History:ShareHistoryList:SharedContent,SharedContent,"[""Activity"", ""Share History"", ""ShareHistoryList"", ""SharedContent""]","[""Activity"", ""Share History"", ""ShareHistoryList""]","[""SharedContent""]",list,string,,No,
Activity:Share History:ShareHistoryList:Link,Link,"[""Activity"", ""Share History"", ""ShareHistoryList"", ""Link""]","[""Activity"", ""Share History"", ""ShareHistoryList""]","[""Link""]",list,string,,No,Activity:Share History:ShareHistoryList:Link
Activity:Share History:ShareHistoryList:Method,Method,"[""Activity"", ""Share History"", ""ShareHistoryList"", ""Method""]","[""Activity"", ""Share History"", ""ShareHistoryList""]","[""Method""]",list,string,,No,
Activity:Status:Status List:Resolution,Resolution,"[""Activity"", ""Status"", ""Status List"", ""Resolution""]","[""Activity"", ""Status"", ""Status List""]","[""Resolution""]",list,string,,No,
Activity:Status:Status List:App Version,App Version,"[""Activity"", ""Status"", ""Status List"", ""App Version""]","[""Activity"", ""Status"", ""Status List""]","[""App Version""]",list,string,,No,
Activity:Status:Status List:IDFA,IDFA,"[""Activity"", ""Status"", ""Status List"", ""IDFA""]","[""Activity"", ""Status"", ""Status List""]","[""IDFA""]",list,string,,No,
Activity:Status:Status List:GAID,GAID,"[""Activity"", ""Status"", ""Status List"", ""GAID""]","[""Activity"", ""Status"", ""Status List""]","[""GAID""]",list,string,,No,
Activity:Status:Status List:Android ID,Android ID,"[""Activity"", ""Status"", ""Status List"", ""Android ID""]","[""Activity"", ""Status"", ""Status List""]","[""Android ID""]",list,string,,No,
Activity:Status:Status List:IDFV,IDFV,"[""Activity"", ""Status"", ""Status List"", ""IDFV""]","[""Activity"", ""Status"", ""Status List""]","[""IDFV""]",list,string,,No,
Activity:Status:Status List:Web ID,Web ID,"[""Activity"", ""Status"", ""Status List"", ""Web ID""]","[""Activity"", ""Status"", ""Status List""]","[""Web ID""]",list,string,,No,
Activity:Video Browsing History:VideoList:Date,Date,"[""Activity"", ""Video Browsing History"", ""VideoList"", ""Date""]","[""Activity"", ""Video Browsing History"", ""VideoList""]","[""Date""]",list,string,,No,Activity:Video Browsing History:VideoList:Date
Activity:Video Browsing History:VideoList:Link,Link,"[""Activity"", ""Video Browsing History"", ""VideoList"", ""Link""]","[""Activity"", ""Video Browsing History"", ""VideoList""]","[""Link""]",list,string,,No,Activity:Video Browsing History:VideoList:Link
App Settings:Block:BlockList:Date,Date,"[""App Settings"", ""Block"", ""BlockList"", ""Date""]","[""App Settings"", ""Block"", ""BlockList""]","[""Date""]",list,string,,No,App Settings:Block:BlockList:Date
App Settings:Block:BlockList:UserName,UserName,"[""App Settings"", ""Block"", ""BlockList"", ""UserName""]","[""App Settings"", ""Block"", ""BlockList""]","[""UserName""]",list,string,,No,App Settings:Block:BlockList:UserName
Comment:Comments:CommentsList:date,date,"[""Comment"", ""Comments"", ""CommentsList"", ""date""]","[""Comment"", ""Comments"", ""CommentsList""]","[""date""]",list,string,,No,Comment:Comments:CommentsList:date
Comment:Comments:CommentsList:comment,comment,"[""Comment"", ""Comments"", ""CommentsList"", ""comment""]","[""Comment"", ""Comments"", ""CommentsList""]","[""comment""]",list,string,,No,Comment:Comments:CommentsList:comment
Comment:Comments:CommentsList:photo,photo,"[""Comment"", ""Comments"", ""CommentsList"", ""photo""]","[""Comment"", ""Comments"", ""CommentsList""]","[""photo""]",list,string,,No,Comment:Comments:CommentsList:photo
Comment:Comments:CommentsList:url,url,"[""Comment"", ""Comments"", ""CommentsList"", ""url""]","[""Comment"", ""Comments"", ""CommentsList""]","[""url""]",list,string,,No,Comment:Comments:CommentsList:url
Poi Review:POI Review:ReviewsList:PlaceName,PlaceName,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""PlaceName""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""PlaceName""]",list,string,,No,
Poi Review:POI Review:ReviewsList:Date,Date,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Date""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Date""]",list,string,,No,
Poi Review:POI Review:ReviewsList:Rating,Rating,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Rating""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Rating""]",list,string,,No,
Poi Review:POI Review:ReviewsList:Status,Status,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Status""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Status""]",list,string,,No,
Poi Review:POI Review:ReviewsList:Likes,Likes,"[""Poi Review"", ""POI Review"", ""ReviewsList"", ""Likes""]","[""Poi Review"", ""POI Review"", ""ReviewsList""]","[""Likes""]",list,string,,No,
