id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
žiūrėjimo istorija:titleUrl,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,žiūrėjimo istorija,No
žiūrėjimo istorija:subtitles:name,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,subtitles,name,LIST,,NO LIST,,MISSING,string,"('subtitles', 'name')","[""subtitles"", ""name""]","""name""",name,list,žiūrėjimo istorija,No
žiūrėjimo istorija:subtitles:url,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,subtitles,url,LIST,,NO LIST,,MISSING,string,"('subtitles', 'url')","[""subtitles"", ""url""]","""url""",url,list,žiūrėjimo istorija,No
žiūrėjimo istorija:time,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,žiūrėjimo istorija,No
žiūrėjimo istorija:products,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,žiūrėjimo istorija,No
žiūrėjimo istorija:activityControls,istorija/žiūrėjimo istorija.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'subtitles': [{'name': 'string', 'url': 'string'}], 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istorija,,,,žiūrėjimo istorija.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,žiūrėjimo istorija,No
historial-de-búsqueda:header,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,historial-de-búsqueda,No
historial-de-búsqueda:title,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,historial-de-búsqueda,No
historial-de-búsqueda:titleUrl,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,historial-de-búsqueda,No
historial-de-búsqueda:time,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,historial-de-búsqueda,No
historial-de-búsqueda:products,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,historial-de-búsqueda,No
historial-de-búsqueda:activityControls,historial/historial-de-búsqueda.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",historial,,,,historial-de-búsqueda.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,historial-de-búsqueda,No
