,description,,,,,,,,,,,,,
,lastUpdatedAt,,,,,,,,,,,,,
,items,,,,,,,,,,,,,
,,itemType,,,,,,,,,,,,
,,itemKey,,,,,,,,,,,,
professional-data,,,,,,,,,,,professional-data,professional-data,,
profile_media (folder),,,,,,,,,,,profile_media,profile_media,,
profile,,,,,,,,,,,profile,profile,,
,bio,,,,,,,,,,bio,bio,,
,website,,,,,,,,,,website,website,,
,location,,,,,,,,,,location,location,,
,avatarMediaUrl,,,,,,,,,,avatarMediaUrl,avatarMediaUrl,,
,headerMediaUrl,,,,,,,,,,headerMediaUrl,headerMediaUrl,,
protected-history,,,,,,,,,,,protected-history,protected-history,,
,protectedAt,,,,,,,,,,,,,
,action,,,,,,,,,,,,,
reply-prompt,,,,,,,,,,,reply-prompt,reply-prompt,,
,promptId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,proposedTweetText,,,,,,,,,,,,,
,inReplyToTweetId,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,promptActionType,,,,,,,,,,,,,
saved-search,,,,,,,,,,,saved-search,saved-search,,
,savedSearchId,,,,,,,,,,,,,
,query,,,,,,,,,,,,,
screen-name-change,,,,,,,,,,,screen-name-change,screen-name-change,,
,accountId,,,,,,,,,,accountId,accountId,,
,changedAt,,,,,,,,,,changedAt,changedAt,,
,changedFrom,,,,,,,,,,changedFrom,changedFrom,,
,changedTo,,,,,,,,,,changedTo,changedTo,,
shop-module,,,,,,,,,,,shop-module,shop-module,,
,moduleId,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,isEnabled,,,,,,,,,,,,,
,productSetIds,,,,,,,,,,,,,
,displayType,,,,,,,,,,,,,
shopify-account,,,,,,,,,,,shopify-account,shopify-account,,
,shopDomain,,,,,,,,,,,,,
,termsOfServiceAccepted,,,,,,,,,,,,,
,appOnboardingComplete,,,,,,,,,,,,,
,userId,,,,,,,,,,,,,
,catalogId,,,,,,,,,,,,,
,shopCurrency,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,updatedAt,,,,,,,,,,,,,
smartblock,,,,,,,,,,,smartblock,smartblock,,
,accountId,,,,,,,,,,,,,
,userLink,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,expiresAt,,,,,,,,,,,,,
,ttl,,,,,,,,,,,,,
spaces-metadata,,,,,,,,,,,spaces-metadata,spaces-metadata,,
,id,,,,,,,,,,,,,
,creatorUserId,,,,,,,,,,,,,
,hostUserIds,,,,,,,,,,,,,
,speakers,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
,endedAt,,,,,,,,,,,,,
,totalParticipating,,,,,,,,,,,,,
,totalParticipated,,,,,,,,,,,,,
,invitedUserIds,,,,,,,,,,,,,
sso,,,,,,,,,,,sso,sso,,
,ssoId,,,,,,,,,,,,,
,ssoEmail,,,,,,,,,,,,,
,associationMethodType,,,,,,,,,,,,,
,createdAt,,,,,,,,,,,,,
tweet-headers,,,,,,,,,,,tweet-headers,tweet-headers,,
,tweetId,,,,,,,,,,tweetId,tweetId,,
,userId,,,,,,,,,,userId,userId,,
,createdAt,,,,,,,,,,createdAt,createdAt,,
tweetdeck,,,,,,,,,,,tweetdeck,tweetdeck,,
,title,,,,,,,,,,,,,
,columns,,,,,,,,,,,,,
