column_name,path,list_path,subfield_path,var_type,data_type
DeviceSystem,"['Activity', 'Login History', 'LoginHistoryList', 'DeviceSystem']","['Activity', 'Login History']","['LoginHistoryList', 'DeviceSystem']",list,string
NetworkType,"['Activity', 'Login History', 'LoginHistoryList', 'NetworkType']","['Activity', 'Login History']","['LoginHistoryList', 'NetworkType']",list,string
Carrier,"['Activity', 'Login History', 'LoginHistoryList', 'Carrier']","['Activity', 'Login History']","['LoginHistoryList', 'Carrier']",list,string
Date,"['Activity', 'Search History', 'SearchList', 'Date']","['Activity', 'Search History']","['SearchList', 'Date']",list,string
SearchTerm,"['Activity', 'Search History', 'SearchList', 'SearchTerm']","['Activity', 'Search History']","['SearchList', 'SearchTerm']",list,string
Date,"['Activity', 'Share History', 'ShareHistoryList', 'Date']","['Activity', 'Share History']","['ShareHistoryList', 'Date']",list,string
SharedContent,"['Activity', 'Share History', 'ShareHistoryList', 'SharedContent']","['Activity', 'Share History']","['ShareHistoryList', 'SharedContent']",list,string
Link,"['Activity', 'Share History', 'ShareHistoryList', 'Link']","['Activity', 'Share History']","['ShareHistoryList', 'Link']",list,string
Method,"['Activity', 'Share History', 'ShareHistoryList', 'Method']","['Activity', 'Share History']","['ShareHistoryList', 'Method']",list,string
Resolution,"['Activity', 'Status', 'Status List', 'Resolution']","['Activity', 'Status']","['Status List', 'Resolution']",list,string
App Version,"['Activity', 'Status', 'Status List', 'App Version']","['Activity', 'Status']","['Status List', 'App Version']",list,string
IDFA,"['Activity', 'Status', 'Status List', 'IDFA']","['Activity', 'Status']","['Status List', 'IDFA']",list,string
GAID,"['Activity', 'Status', 'Status List', 'GAID']","['Activity', 'Status']","['Status List', 'GAID']",list,string
Android ID,"['Activity', 'Status', 'Status List', 'Android ID']","['Activity', 'Status']","['Status List', 'Android ID']",list,string
IDFV,"['Activity', 'Status', 'Status List', 'IDFV']","['Activity', 'Status']","['Status List', 'IDFV']",list,string
Web ID,"['Activity', 'Status', 'Status List', 'Web ID']","['Activity', 'Status']","['Status List', 'Web ID']",list,string
Date,"['Activity', 'Video Browsing History', 'VideoList', 'Date']","['Activity', 'Video Browsing History']","['VideoList', 'Date']",list,string
Link,"['Activity', 'Video Browsing History', 'VideoList', 'Link']","['Activity', 'Video Browsing History']","['VideoList', 'Link']",list,string
date,"['Comment', 'Comments', 'CommentsList', 'date']","['Comment', 'Comments']","['CommentsList', 'date']",list,string
