column_name,path,list_path,subfield_path,var_type,data_type
Likes,"['Poi Review', 'POI Review', 'ReviewsList', 'Likes']","['Poi Review', 'POI Review', 'ReviewsList']",['Likes'],list,string
ReviewText,"['Poi Review', 'POI Review', 'ReviewsList', 'ReviewText']","['Poi Review', 'POI Review', 'ReviewsList']",['ReviewText'],list,string
Hide comments that contain the following keywords from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']","['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide comments that contain the following keywords from your LIVE']",[],list,array
People you assigned to moderate your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']","['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'People you assigned to moderate your LIVE']",[],list,array
Date,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Date']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Date'],list,string
DateDeleted,"['Video', 'RecentlyDeletedPosts', 'PostList', 'DateDeleted']","['Video', 'RecentlyDeletedPosts', 'PostList']",['DateDeleted'],list,string
Link,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Link']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Link'],list,string
Likes,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Likes']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Likes'],list,string
ContentDisclosure,"['Video', 'RecentlyDeletedPosts', 'PostList', 'ContentDisclosure']","['Video', 'RecentlyDeletedPosts', 'PostList']",['ContentDisclosure'],list,string
AIGeneratedContent,"['Video', 'RecentlyDeletedPosts', 'PostList', 'AIGeneratedContent']","['Video', 'RecentlyDeletedPosts', 'PostList']",['AIGeneratedContent'],list,string
Sound,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Sound']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Sound'],list,string
Location,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Location']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Location'],list,string
Title,"['Video', 'RecentlyDeletedPosts', 'PostList', 'Title']","['Video', 'RecentlyDeletedPosts', 'PostList']",['Title'],list,string
