json_name,column_name,path,list_path,subfield_path,var_type,data_type
manifest.js,globalName,"['dataTypes', 'adOnlineConversionsUnattributed', 'files', 'globalName']","[""dataTypes"", ""adOnlineConversionsUnattributed"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adOnlineConversionsUnattributed', 'files', 'count']","[""dataTypes"", ""adOnlineConversionsUnattributed"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'adsRevenueSharing', 'files', 'fileName']","[""dataTypes"", ""adsRevenueSharing"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'adsRevenueSharing', 'files', 'globalName']","[""dataTypes"", ""adsRevenueSharing"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'adsRevenueSharing', 'files', 'count']","[""dataTypes"", ""adsRevenueSharing"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'ageinfo', 'files', 'fileName']","[""dataTypes"", ""ageinfo"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'ageinfo', 'files', 'globalName']","[""dataTypes"", ""ageinfo"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'ageinfo', 'files', 'count']","[""dataTypes"", ""ageinfo"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'app', 'files', 'fileName']","[""dataTypes"", ""app"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'app', 'files', 'globalName']","[""dataTypes"", ""app"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'app', 'files', 'count']","[""dataTypes"", ""app"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'article', 'files', 'fileName']","[""dataTypes"", ""article"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'article', 'files', 'globalName']","[""dataTypes"", ""article"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'article', 'files', 'count']","[""dataTypes"", ""article"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'articleMetadata', 'files', 'fileName']","[""dataTypes"", ""articleMetadata"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'articleMetadata', 'files', 'globalName']","[""dataTypes"", ""articleMetadata"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'articleMetadata', 'files', 'count']","[""dataTypes"", ""articleMetadata"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'audioVideoCallsInDm', 'files', 'fileName']","[""dataTypes"", ""audioVideoCallsInDm"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'audioVideoCallsInDm', 'files', 'globalName']","[""dataTypes"", ""audioVideoCallsInDm"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'audioVideoCallsInDm', 'files', 'count']","[""dataTypes"", ""audioVideoCallsInDm"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'audioVideoCallsInDmRecipientSessions', 'files', 'fileName']","[""dataTypes"", ""audioVideoCallsInDmRecipientSessions"", ""files""]","""fileName""",list,string
manifest.js,globalName,"['dataTypes', 'audioVideoCallsInDmRecipientSessions', 'files', 'globalName']","[""dataTypes"", ""audioVideoCallsInDmRecipientSessions"", ""files""]","""globalName""",list,string
manifest.js,count,"['dataTypes', 'audioVideoCallsInDmRecipientSessions', 'files', 'count']","[""dataTypes"", ""audioVideoCallsInDmRecipientSessions"", ""files""]","""count""",list,string
manifest.js,fileName,"['dataTypes', 'block', 'files', 'fileName']","[""dataTypes"", ""block"", ""files""]","""fileName""",list,string
