id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag
Profile:LastName,LastName,"['Profile', 'Autofill', 'LastName']",,"[""Profile"", ""Autofill"", ""LastName""]",static,string,,No
Profile:Address,Address,"['Profile', 'Autofill', 'Address']",,"[""Profile"", ""Autofill"", ""Address""]",static,string,,No
Profile:ZipCode,ZipCode,"['Profile', 'Autofill', 'ZipCode']",,"[""Profile"", ""Autofill"", ""ZipCode""]",static,string,,No
Profile:Unit,Unit,"['Profile', 'Autofill', 'Unit']",,"[""Profile"", ""Autofill"", ""Unit""]",static,string,,No
Profile:City,City,"['Profile', 'Autofill', 'City']",,"[""Profile"", ""Autofill"", ""City""]",static,string,,No
Profile:State,State,"['Profile', 'Autofill', 'State']",,"[""Profile"", ""Autofill"", ""State""]",static,string,,No
Profile:Country,Country,"['Profile', 'Autofill', 'Country']",,"[""Profile"", ""Autofill"", ""Country""]",static,string,,No
Profile:App,App,"['Profile', 'Profile Info', 'App']",,"[""Profile"", ""Profile Info"", ""App""]",static,number,,No
TikTok Shop:CommunicationHistories,CommunicationHistories,"['TikTok Shop', 'Communication With Shops', 'CommunicationHistories']",,"[""TikTok Shop"", ""Communication With Shops"", ""CommunicationHistories""]",static,object,,No
TikTok Shop:PayCard,PayCard,"['TikTok Shop', 'Current Payment Information', 'PayCard']",,"[""TikTok Shop"", ""Current Payment Information"", ""PayCard""]",static,object,,No
TikTok Shop:CustomerSupportHistories,CustomerSupportHistories,"['TikTok Shop', 'Customer Support History', 'CustomerSupportHistories']",,"[""TikTok Shop"", ""Customer Support History"", ""CustomerSupportHistories""]",static,object,,No
TikTok Shop:OrderDisputeHistories,OrderDisputeHistories,"['TikTok Shop', 'Order Dispute History', 'OrderDisputeHistories']",,"[""TikTok Shop"", ""Order Dispute History"", ""OrderDisputeHistories""]",static,object,,No
TikTok Shop:OrderHistories,OrderHistories,"['TikTok Shop', 'Order History', 'OrderHistories']",,"[""TikTok Shop"", ""Order History"", ""OrderHistories""]",static,object,,No
TikTok Shop:ProductBrowsingHistories,ProductBrowsingHistories,"['TikTok Shop', 'Product Browsing History', 'ProductBrowsingHistories']",,"[""TikTok Shop"", ""Product Browsing History"", ""ProductBrowsingHistories""]",static,object,,No
