id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
Tiktok Live:Go Live Settings:SettingsMap:Hide potential spam or offensive comments from your LIVE,Hide potential spam or offensive comments from your LIVE,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Hide potential spam or offensive comments from your LIVE""]",static,string,,,No
Tiktok Live:Go Live Settings:SettingsMap:Show your username and gift information in features with ranking lists,Show your username and gift information in features with ranking lists,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",nan,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Show your username and gift information in features with ranking lists""]",static,string,,,No
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:app,app,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",nan,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""app""]",static,string,,,No
Tiktok Live:Watch Live Settings:WatchLiveSettingsMap:web,web,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",nan,"[""Tiktok Live"", ""Watch Live Settings"", ""WatchLiveSettingsMap"", ""web""]",static,string,,,No
Your Activity:Activity Summary:ActivitySummaryMap:note,note,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""note""]",nan,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""note""]",static,string,,,No
Your Activity:Activity Summary:ActivitySummaryMap:videosCommentedOnSinceAccountRegistration,videosCommentedOnSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosCommentedOnSinceAccountRegistration""]",nan,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosCommentedOnSinceAccountRegistration""]",static,number,,,No
Your Activity:Activity Summary:ActivitySummaryMap:videosSharedSinceAccountRegistration,videosSharedSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosSharedSinceAccountRegistration""]",nan,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosSharedSinceAccountRegistration""]",static,number,,,No
Your Activity:Activity Summary:ActivitySummaryMap:videosWatchedToTheEndSinceAccountRegistration,videosWatchedToTheEndSinceAccountRegistration,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosWatchedToTheEndSinceAccountRegistration""]",nan,"[""Your Activity"", ""Activity Summary"", ""ActivitySummaryMap"", ""videosWatchedToTheEndSinceAccountRegistration""]",static,number,,,No
Your Activity:Most Recent Location Data:LocationData:Date,Date,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""Date""]",nan,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""Date""]",static,string,,,No
Your Activity:Most Recent Location Data:LocationData:GpsData,GpsData,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""GpsData""]",nan,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""GpsData""]",static,string,,,No
Your Activity:Most Recent Location Data:LocationData:LastRegion,LastRegion,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",nan,"[""Your Activity"", ""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",static,string,,,No
App Settings:Settings:SettingsMap:Push Notification:Desktop notification,Desktop notification,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""Desktop notification""]",static,string,,,No
App Settings:Settings:SettingsMap:Push Notification:New Comments on My Video,New Comments on My Video,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Comments on My Video""]",static,string,,,No
App Settings:Settings:SettingsMap:Push Notification:New Fans,New Fans,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Fans""]",static,string,,,No
App Settings:Settings:SettingsMap:Push Notification:New Likes on My Video,New Likes on My Video,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Push Notification"", ""New Likes on My Video""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:order_date,order_date,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_date""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_date""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:order_number,order_number,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_number""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_number""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:total_price,total_price,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""total_price""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""total_price""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:customer_note,customer_note,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""customer_note""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""customer_note""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:order_status,order_status,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_status""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""order_status""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:logistics_provider,logistics_provider,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""logistics_provider""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""logistics_provider""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576721495554821840:logistics_tracking_number,logistics_tracking_number,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""logistics_tracking_number""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576721495554821840"", ""logistics_tracking_number""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:order_date,order_date,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_date""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_date""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:order_number,order_number,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_number""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_number""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:total_price,total_price,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""total_price""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""total_price""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:customer_note,customer_note,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""customer_note""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""customer_note""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:order_status,order_status,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_status""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""order_status""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:logistics_provider,logistics_provider,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""logistics_provider""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""logistics_provider""]",static,string,,,No
TikTok Shop:Order History:OrderHistories:576727511136440016:logistics_tracking_number,logistics_tracking_number,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""logistics_tracking_number""]",nan,"[""TikTok Shop"", ""Order History"", ""OrderHistories"", ""576727511136440016"", ""logistics_tracking_number""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7500534004987218710:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500534004987218710"", ""WatchTime""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500534004987218710"", ""WatchTime""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7500534004987218710:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500534004987218710"", ""Link""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500534004987218710"", ""Link""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7500571456037473046:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500571456037473046"", ""WatchTime""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500571456037473046"", ""WatchTime""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7500571456037473046:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500571456037473046"", ""Link""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7500571456037473046"", ""Link""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7503853636821306134:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7503853636821306134"", ""WatchTime""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7503853636821306134"", ""WatchTime""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7503853636821306134:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7503853636821306134"", ""Link""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7503853636821306134"", ""Link""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7505319784817363734:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505319784817363734"", ""WatchTime""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505319784817363734"", ""WatchTime""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7505319784817363734:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505319784817363734"", ""Link""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505319784817363734"", ""Link""]",static,string,,,No
Tiktok Live:Watch Live History:WatchLiveMap:7505358944400788246:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505358944400788246"", ""WatchTime""]",nan,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7505358944400788246"", ""WatchTime""]",static,string,,,No
